corrDailyDust30,corrDailyPrecip30,corrDailyPDO,corrDailyMonthNoVolc
2.4459982357417e-10,1.03393482243788e-07,-0.72,6
1.97530782827031e-10,-6.05218401429793e-08,-0.72,6
1.08758731777764e-10,6.72619167506422e-08,-0.72,6
4.12671369054494e-11,1.08680608686128e-06,-0.72,6
-3.02284472298523e-12,1.54588280487783e-06,-0.72,6
-2.82159037906857e-11,1.59504263287116e-06,-0.72,6
-2.8483689299344e-11,1.62044721720879e-06,-0.72,6
-1.83492496612537e-11,1.78439523829525e-06,-0.72,6
-1.32939017402642e-11,2.43153037869967e-06,-0.72,6
-2.96511991808827e-11,2.8215273046923e-06,-0.72,6
-4.92164134064305e-11,2.66923667907218e-06,-0.72,6
-6.29334370540334e-11,2.18234068897323e-06,-0.72,6
-6.37546815194273e-11,1.02093757390491e-06,-0.21,7
-6.35222522187923e-11,4.84450558985064e-07,-0.21,7
-6.49598225894539e-11,7.64871715262049e-07,-0.21,7
-6.14707232248607e-11,7.06098526442852e-07,-0.21,7
-6.60159876422297e-11,4.44445602084481e-07,-0.21,7
-8.00259243036506e-11,3.19910650732638e-07,-0.21,7
-8.66380227375964e-11,1.55696303446844e-07,-0.21,7
-9.32474732814889e-11,5.00243041942739e-08,-0.21,7
-1.00434357372758e-10,-6.861058079542e-08,-0.21,7
-1.01876484276967e-10,-2.03964496478638e-07,-0.21,7
-1.14829034294358e-10,-4.85057398570069e-07,-0.21,7
-1.27728684911346e-10,-6.54248748056659e-07,-0.21,7
-1.2887328262626e-10,-8.73680344781164e-07,-0.21,7
-1.21377434292726e-10,-1.09876262296022e-06,-0.21,7
-1.10473305031422e-10,-1.33447399890864e-06,-0.21,7
-9.75878512082237e-11,-1.48344759370783e-06,-0.21,7
-8.41801993662462e-11,-1.60770811245399e-06,-0.21,7
-8.46927569823423e-11,-1.72707670099147e-06,-0.21,7
-8.73753094355658e-11,-1.77729096626511e-06,-0.21,7
-8.93214260294439e-11,-1.64872539011652e-06,-0.21,7
-7.9103861738868e-11,-1.86095699326601e-06,-0.21,7
-6.8054116594251e-11,-2.13705329862122e-06,-0.21,7
-7.12535430625521e-11,-3.4734804558527e-06,-0.21,7
-7.62360220976407e-11,-4.19455551062114e-06,-0.21,7
-7.64595704687227e-11,-4.28584019711672e-06,-0.21,7
-7.551069929403e-11,-4.43891704331937e-06,-0.21,7
-7.22965423679175e-11,-4.78257478490753e-06,-0.21,7
-6.94650613912216e-11,-5.69333392385858e-06,-0.21,7
-6.33814634044937e-11,-6.312010235442e-06,-0.21,7
-5.46790540509169e-11,-6.57554875148784e-06,-0.21,7
-4.59394919669529e-11,-6.77482969245438e-06,-0.21,7
-4.3938975543696e-11,-7.02475001280793e-06,0.08,8
-4.31136682847009e-11,-7.58472099645854e-06,0.08,8
-3.67806576373605e-11,-8.08000003016837e-06,0.08,8
-2.62739526697596e-11,-8.16358324326812e-06,0.08,8
-1.57661834671111e-11,-8.0625444542083e-06,0.08,8
-8.04071921866699e-12,-7.9578426652683e-06,0.08,8
-6.76557927879239e-12,-7.78455332518815e-06,0.08,8
-6.60448372026373e-12,-7.57706145093037e-06,0.08,8
-1.85500423672739e-12,-7.43939329506814e-06,0.08,8
-1.5251395983535e-12,-6.86947864216708e-06,0.08,8
4.52016389453582e-12,-6.19690697929534e-06,0.08,8
1.11480760676886e-11,-5.50561554805733e-06,0.08,8
1.41239328395094e-11,-5.2115790048879e-06,0.08,8
1.36428696622721e-11,-5.08391443329432e-06,0.08,8
9.76162576968545e-12,-4.75437762600824e-06,0.08,8
3.31894706406756e-12,-4.36305758907589e-06,0.08,8
-5.28039985474167e-12,-3.34032596669275e-06,0.08,8
-1.32510534192503e-11,-2.88133864498042e-06,0.08,8
-1.96114385524555e-11,-2.78607226136361e-06,0.08,8
-2.38110533347294e-11,-2.49109796275721e-06,0.08,8
-3.19354005096996e-11,-2.02054131755295e-06,0.08,8
-3.67179150496793e-11,-1.62083321079978e-06,0.08,8
-3.77009687011949e-11,-1.41359677240574e-06,0.08,8
-3.66512337850638e-11,-4.01820965108698e-07,0.08,8
-3.66082000877348e-11,5.83120794699555e-07,0.08,8
-3.96583836050308e-11,1.35092368088894e-06,0.08,8
-4.44097573659056e-11,3.70937227281067e-06,0.08,8
-4.78721572911629e-11,7.01484305992011e-06,0.08,8
-4.47788443767783e-11,7.20539044421744e-06,0.08,8
-4.267061749762e-11,7.20776871831338e-06,0.08,8
-4.21643275951447e-11,7.28577696633458e-06,0.08,8
-3.86702390437426e-11,7.76793666406724e-06,-0.13,9
-3.66832155540401e-11,8.32356957984583e-06,-0.13,9
-4.45057119518248e-11,8.48037395757442e-06,-0.13,9
-6.31073846955148e-11,8.3880586961711e-06,-0.13,9
-7.75983430635989e-11,8.41802286429611e-06,-0.13,9
-8.82348358701966e-11,8.31798685258221e-06,-0.13,9
-9.59024889377413e-11,8.10736474316788e-06,-0.13,9
-1.02439517330269e-10,7.98221959801611e-06,-0.13,9
-1.11312645043464e-10,7.96371411599601e-06,-0.13,9
-1.23477987497952e-10,7.3560272457801e-06,-0.13,9
-1.40322555312507e-10,6.73895586848647e-06,-0.13,9
-1.55189228372924e-10,6.08707322871555e-06,-0.13,9
-1.65484425201809e-10,5.89454199083843e-06,-0.13,9
-1.76245567901697e-10,6.39958618940074e-06,-0.13,9
-1.85894295303635e-10,6.20080855790435e-06,-0.13,9
-1.88730594111053e-10,5.97400880580778e-06,-0.13,9
-1.90214022288514e-10,5.00147021032322e-06,-0.13,9
-1.93202372650726e-10,4.45401009242582e-06,-0.13,9
-1.96719509135029e-10,4.13506089829473e-06,-0.13,9
-1.98270814132246e-10,4.17869923144389e-06,-0.13,9
-1.93792522677569e-10,6.37732305323553e-06,-0.13,9
-1.91763023410165e-10,6.34309072005486e-06,-0.13,9
-1.90286421578156e-10,6.72899330804881e-06,-0.13,9
-1.87450982074406e-10,5.66023322140572e-06,-0.13,9
-1.86203889957637e-10,4.54815298680576e-06,-0.13,9
-1.85235177209139e-10,3.94452699517373e-06,-0.13,9
-1.80811268958983e-10,1.48931143241596e-06,-0.13,9
-1.70102382224616e-10,-1.97393435703987e-06,-0.13,9
-1.79960754997834e-10,-2.23412701628452e-06,-0.13,9
-1.92824870765891e-10,-2.39251076889297e-06,-0.13,9
-2.01771182057053e-10,-2.61110863735008e-06,0.99,10
-2.04977525340959e-10,-3.02108211430112e-06,0.99,10
-2.00145308317892e-10,-3.84100022595466e-06,0.99,10
-1.93715787037081e-10,-4.23487754982044e-06,0.99,10
-1.88973493032541e-10,-4.39928762143091e-06,0.99,10
-1.86823233386412e-10,-4.87187870311042e-06,0.99,10
-1.87313612934231e-10,-5.2109238499365e-06,0.99,10
-1.87413530442516e-10,-5.42118712786423e-06,0.99,10
-1.83309164910648e-10,-5.41415686778498e-06,0.99,10
-1.74008357555996e-10,-5.49578703770842e-06,0.99,10
-1.67451997384703e-10,-5.5988439435181e-06,0.99,10
-1.63448091449488e-10,-5.99928322950975e-06,0.99,10
-1.62245242839428e-10,-6.47859912785188e-06,0.99,10
-1.61927794537748e-10,-6.95300651742548e-06,0.99,10
-1.58810521164868e-10,-7.94534570011849e-06,0.99,10
-1.50455275681931e-10,-8.45252310688289e-06,0.99,10
-1.48005437268176e-10,-9.02457477802827e-06,0.99,10
-1.45939939059896e-10,-9.31278940503308e-06,0.99,10
-1.33442542267814e-10,-9.14858824369614e-06,0.99,10
-1.20002221014509e-10,-9.35479145493583e-06,0.99,10
-1.14439550618516e-10,-1.02627538466084e-05,0.99,10
-1.14720777171639e-10,-1.32193681033157e-05,0.99,10
-1.11430221334706e-10,-1.33285646992411e-05,0.99,10
-1.07704886004491e-10,-1.36506560378819e-05,0.99,10
-8.99812588401863e-11,-1.21408487550452e-05,0.99,10
-7.38388262027739e-11,-9.19058555872139e-06,0.99,10
-6.09993957227438e-11,-8.95412868404242e-06,0.99,10
-4.75662030535745e-11,-8.96891692311739e-06,0.99,10
-4.14399107852077e-11,-9.02852353248995e-06,0.99,10
-2.56200097793704e-11,-9.27616355592343e-06,0.99,10
-1.17891331879142e-11,-8.96279391845697e-06,0.99,10
2.35010465389171e-12,-7.69396494564462e-06,0.71,11
7.49479046761807e-12,-8.17778862182687e-06,0.71,11
6.93675804724787e-12,-8.39053936570941e-06,0.71,11
1.78665373470147e-11,-8.59571849361512e-06,0.71,11
2.99012670480781e-11,-8.86162668803162e-06,0.71,11
3.63485716558338e-11,-8.92968545385348e-06,0.71,11
4.35330679536537e-11,-8.9982297707605e-06,0.71,11
5.14080204765777e-11,-8.83641035355492e-06,0.71,11
5.35726449150534e-11,-9.05024276381789e-06,0.71,11
5.41029674832525e-11,-8.53411200155041e-06,0.71,11
5.52400502336278e-11,-8.63081871432e-06,0.71,11
5.59549689085558e-11,-8.65888764780908e-06,0.71,11
5.67513480002601e-11,-8.66576758678301e-06,0.71,11
5.56431412330306e-11,-8.76784767381133e-06,0.71,11
5.24324481579879e-11,-8.82752972338822e-06,0.71,11
4.55373273811066e-11,-6.84218826003317e-06,0.71,11
4.16536887561766e-11,-2.4030395291924e-06,0.71,11
3.66440917504624e-11,-1.8465143066468e-06,0.71,11
2.24787960321255e-11,-2.27987822645576e-06,0.71,11
8.97146750828364e-12,-1.80686318322182e-06,0.71,11
4.66442382437664e-12,1.71725376016759e-06,0.71,11
1.20361762671301e-12,1.92288462107922e-06,0.71,11
-7.71313772057145e-12,1.89669694235911e-06,0.71,11
-1.70746515553891e-11,1.29897334307505e-06,0.71,11
-4.10871435288189e-11,-2.17855096100533e-07,0.71,11
-6.0070996569205e-11,-2.74314659116635e-06,0.71,11
-7.53778277424143e-11,-3.20999422162424e-06,0.71,11
-9.49109835252256e-11,-3.22796356022346e-06,0.71,11
-1.1356925845947e-10,1.22657722896291e-06,0.71,11
-1.2118537697245e-10,4.65346658168716e-06,0.71,11
-1.23517257181092e-10,4.00763967427082e-06,0.3,12
-1.2703180938526e-10,2.29206970212743e-06,0.3,12
-1.25831206026268e-10,2.11166470732161e-06,0.3,12
-1.28679308736686e-10,2.07664603420513e-06,0.3,12
-1.41727834238072e-10,4.39803144723487e-06,0.3,12
-1.54291613698497e-10,6.9271501244228e-06,0.3,12
-1.62124426003338e-10,7.64048960276697e-06,0.3,12
-1.68146480742377e-10,7.87149697499389e-06,0.3,12
-1.74759755949648e-10,7.77886500685587e-06,0.3,12
-1.77060631949233e-10,7.70207712556893e-06,0.3,12
-1.83402736546099e-10,6.69438544720538e-06,0.3,12
-1.85787192336703e-10,6.55244029157552e-06,0.3,12
-1.85250735023218e-10,6.51888924616744e-06,0.3,12
-1.78717031571616e-10,6.74134535928788e-06,0.3,12
-1.73027862046757e-10,6.87345148504921e-06,0.3,12
-1.6785482041257e-10,7.13548538880087e-06,0.3,12
-1.64376745302148e-10,5.74060559790192e-06,0.3,12
-1.64191159945193e-10,1.5153066523378e-06,0.3,12
-1.61738601342588e-10,2.92130842760254e-06,0.3,12
-1.52645260231127e-10,3.71019987746617e-06,0.3,12
-1.37834371075413e-10,3.12934053639087e-06,0.3,12
-1.36242445254043e-10,-5.28795849799322e-07,0.3,12
-1.3524181665606e-10,-7.63949723385433e-07,0.3,12
-1.28192236690989e-10,-3.25980111904352e-07,0.3,12
-1.19970598562215e-10,-1.86799261304409e-07,0.3,12
-1.1387347964726e-10,-6.37872196964525e-07,0.3,12
-1.02958206044153e-10,-9.82824086209652e-07,0.3,12
-8.40926352104585e-11,2.95108780961606e-06,0.3,12
-6.96607146915195e-11,2.63688326708209e-06,0.3,12
-6.13100093665427e-11,-8.28797443953606e-07,0.3,12
-6.33504124342106e-11,-4.51439357746107e-06,0.3,12
-6.80996919819638e-11,-4.37309610620136e-06,1.18,1
-7.62910415539663e-11,-4.08709255126858e-06,1.18,1
-3.20418670213409e-11,-3.903531186549e-06,1.18,1
2.10035453920021e-11,-3.71625120557409e-06,1.18,1
6.4774390203569e-11,-5.97070758244494e-06,1.18,1
9.725745119654e-11,-8.43998244796622e-06,1.18,1
1.38459644969251e-10,-8.92817907084138e-06,1.18,1
1.66042136632203e-10,-8.92358361351224e-06,1.18,1
1.79313893116408e-10,-9.07585806340644e-06,1.18,1
1.84931584861152e-10,-9.19445843822155e-06,1.18,1
1.95375735242365e-10,-8.6707751593957e-06,1.18,1
2.133118356214e-10,-6.03043548743186e-06,1.18,1
2.29436313891185e-10,-5.2188591442726e-06,1.18,1
2.33964222883458e-10,-4.59949768136048e-06,1.18,1
2.36259734588989e-10,-4.6716281086373e-06,1.18,1
2.43029448553207e-10,-4.12154002902556e-06,1.18,1
2.46907303620243e-10,-4.40131364345766e-06,1.18,1
2.45875654554622e-10,-4.34607045078648e-06,1.18,1
2.4395463844288e-10,-6.27040632937768e-06,1.18,1
2.35974868229912e-10,-6.98775153236365e-06,1.18,1
2.2064587412783e-10,-5.88984274331697e-06,1.18,1
2.35742972104931e-10,-5.85372703345794e-06,1.18,1
2.59367089175701e-10,-6.00822813885434e-06,1.18,1
2.72934085777288e-10,-5.46394688592405e-06,1.18,1
2.86651341114761e-10,-5.66912356935708e-06,1.18,1
3.08068390761224e-10,-5.42416076707925e-06,1.18,1
3.08351110346585e-10,-5.72627091274879e-07,1.18,1
2.86602925786319e-10,2.68583814331427e-06,1.18,1
2.65310253177932e-10,3.1627637830489e-06,1.18,1
2.47501151289026e-10,2.06075562069479e-06,1.18,1
2.39224042401115e-10,2.07942135173617e-06,1.18,1
2.31257349754629e-10,2.11446995458278e-06,1.24,2
2.25324323008372e-10,1.93325282869322e-06,1.24,2
1.68463468446994e-10,1.96159623763914e-06,1.24,2
1.20033031193982e-10,1.8795132858197e-06,1.24,2
7.80756877720401e-11,2.3065407556983e-06,1.24,2
4.40754183974936e-11,3.34372329597285e-06,1.24,2
3.82653362910019e-12,3.32825339797476e-06,1.24,2
-2.04231083159108e-11,3.17643977681867e-06,1.24,2
-4.25303431992523e-12,3.12559415067847e-06,1.24,2
1.13458358813658e-10,3.14422823429825e-06,1.24,2
2.20249777141771e-10,2.86439287277893e-06,1.24,2
3.30944059063449e-10,3.15986019768946e-07,1.24,2
5.45749188494164e-10,-6.18166062591829e-07,1.24,2
7.19037002211325e-10,-1.4848987952197e-06,1.24,2
8.23538349588059e-10,-1.33287986511972e-06,1.24,2
9.07274154677307e-10,-1.0763681801607e-06,1.24,2
9.79137725408512e-10,-5.73575136603986e-07,1.24,2
1.04131376320763e-09,-6.2738371458037e-07,1.24,2
1.0854686226359e-09,-5.84634847317379e-07,1.24,2
1.11376379321685e-09,-6.5848401352339e-07,1.24,2
1.13451418279143e-09,-1.68790092757404e-06,1.24,2
1.14128852430603e-09,-1.60735159698699e-06,1.24,2
1.13934731607407e-09,-1.65056956871219e-06,1.24,2
1.14857306136398e-09,-3.18172845572124e-06,1.24,2
1.15698992261724e-09,-3.04443226996123e-06,1.24,2
1.17521902449625e-09,-3.20202223873804e-06,1.24,2
1.18913224306959e-09,-8.26856151938922e-06,1.24,2
1.19962530623282e-09,-1.56466749821274e-05,1.24,2
1.21838001856061e-09,-1.52159186161759e-05,1.22,3
1.24712584178706e-09,-1.43633871953301e-05,1.22,3
1.25347094792356e-09,-9.72145340843168e-06,1.22,3
1.24869761614484e-09,-9.49022548921407e-06,1.22,3
1.23708971117688e-09,-9.38415219328538e-06,1.22,3
1.21907425177727e-09,-8.10876444833941e-06,1.22,3
1.18504618756436e-09,-8.03888937836852e-06,1.22,3
1.15009582050966e-09,-8.47661990983771e-06,1.22,3
1.13105414151525e-09,-9.28331612192704e-06,1.22,3
1.11409814002967e-09,-9.35858796503582e-06,1.22,3
1.08650106336115e-09,-9.39675223651899e-06,1.22,3
1.03433158547555e-09,-9.31939597353794e-06,1.22,3
8.9318928825306e-10,-9.30286703696985e-06,1.22,3
7.62262534983844e-10,-9.41104622952322e-06,1.22,3
6.37337131913434e-10,-9.376857023855e-06,1.22,3
4.09117725563911e-10,-9.16354010548054e-06,1.22,3
2.17245371903614e-10,-8.95384592946337e-06,1.22,3
8.91745939065743e-11,-8.85676058228357e-06,1.22,3
-2.05030841604061e-11,-9.59161805656909e-06,1.22,3
-1.18730314029431e-10,-1.01830374652942e-05,1.22,3
-2.13219174069704e-10,-1.01355534216219e-05,1.22,3
-2.99101048913734e-10,-1.01570766810612e-05,1.22,3
-3.67664342437995e-10,-9.79408892220536e-06,1.22,3
-4.23764112998484e-10,-9.03218527210432e-06,1.22,3
-4.89752721678143e-10,-8.60790853304487e-06,1.22,3
-5.61975217745852e-10,-8.27518957826516e-06,1.22,3
-6.43614877384175e-10,-8.03547167427143e-06,1.22,3
-7.26703830827374e-10,-7.82571320432367e-06,1.22,3
-8.20878439635898e-10,-7.43733612640179e-06,1.22,3
-8.87267532620774e-10,-7.03706805474022e-06,1.22,3
-9.38727454965622e-10,-6.04865373754418e-06,1.22,3
-9.95085187473776e-10,-6.63589782615487e-06,1.07,4
-1.0606720175105e-09,-7.29134457000464e-06,1.07,4
-1.1141557461978e-09,-1.16313657990401e-05,1.07,4
-1.13624803281633e-09,-1.16513934482492e-05,1.07,4
-1.04889666156765e-09,-1.13256874734242e-05,1.07,4
-9.29919842864261e-10,-1.22849597399841e-05,1.07,4
-8.46434828670884e-10,-1.20142323694996e-05,1.07,4
-8.12704917822145e-10,-1.17327137302081e-05,1.07,4
-8.13846537530655e-10,-1.16475260289928e-05,1.07,4
-8.17888133685827e-10,-1.14958263086558e-05,1.07,4
-8.024131073261e-10,-1.12281646562337e-05,1.07,4
-7.86230829260493e-10,-1.08750563736436e-05,1.07,4
-7.88385499967581e-10,-1.04870611735204e-05,1.07,4
-7.97919894176882e-10,-9.7774710857971e-06,1.07,4
-8.22448624559655e-10,-7.838988996815e-06,1.07,4
-8.41022140289316e-10,-7.52916073069757e-06,1.07,4
-8.47688595311733e-10,-7.40849826689257e-06,1.07,4
-8.56304691011139e-10,-7.29789758693445e-06,1.07,4
